 c_last_name | c_first_name |       sales        
-------------+--------------+--------------------
             |              |  635358362.1600274
             |              | 1278105629.8600407
             | Aaron        | 1992083.0700000036
             | Aaron        |  2758890.889999997
             | Abraham      | 2654041.7700000005
             | Adalberto    | 1558434.8600000038
             | Adam         | 1042432.0799999993
             | Adolfo       |  569607.2199999989
             | Adrian       |  723175.4499999974
             | Agustin      |  2755375.270000005
             | Alberto      | 1475823.3500000031
             | Alda         |  1749264.069999992
             | Alejandro    |  974005.7599999986
             | Alexander    |  967304.8700000008
             | Alfonzo      | 1127566.2299999995
             | Alisa        |   676143.790000002
             | Alisha       | 2806767.5600000047
             | Alma         |  427642.0499999991
             | Amanda       | 3489524.7699999893
             | Amber        |  4622495.749999991
             | Amy          |  846206.2399999996
             | Amy          |  9034890.000000011
             | Ana          |  624309.7600000007
             | Andre        | 339179.64999999944
             | Andre        |  2947237.840000014
             | Andrea       |  4137936.690000005
             | Andrew       |         3591826.72
             | Andrew       |  4354291.700000011
             | Andy         | 1296909.5800000026
             | Angie        | 2185989.9800000074
             | Anita        |  3951748.229999993
             | Ann          | 2300502.3799999994
             | Ann          |  6814966.619999991
             | Anna         |  3497965.960000002
             | Anne         | 2049813.1899999955
             | Anthony      | 3915961.3599999873
             | Antonia      | 1376952.7999999973
             | Ariana       |  976721.3899999998
             | Armando      |  2338439.590000002
             | Arthur       |  1884523.059999999
             | Arturo       |  907711.6799999988
             | Ashley       | 1984632.4300000079
             | Audrey       |  1511816.639999997
             | Babara       |  1651427.769999996
             | Barbara      |  2739313.570000024
             | Barbara      |  8391922.279999927
             | Barton       | 1238449.5599999996
             | Beatrice     |  575129.9800000001
             | Beatrice     |  1733347.629999999
             | Belva        | 1681613.7600000007
             | Benjamin     | 2439300.4100000006
             | Benny        |  2012122.489999995
             | Bernadette   |  2941299.770000017
             | Berneice     | 2312953.0399999926
             | Bethany      | 1932537.5100000014
             | Betty        |  5215945.199999985
             | Betty        |  6833210.559999945
             | Beulah       |  1766118.429999997
             | Beverly      |  881753.9500000008
             | Beverly      | 3107336.0199999902
             | Bill         | 1590752.4299999934
             | Billy        | 2088585.6500000015
             | Blanca       |  970532.7899999996
             | Bobby        | 2387616.8400000012
             | Boris        | 1206958.5000000028
             | Boyd         |  1963436.590000003
             | Boyd         | 2198641.5199999916
             | Brad         |   3457504.69000002
             | Brandon      | 1930532.6600000025
             | Brandy       |  1428970.799999998
             | Brenda       | 2812537.7999999993
             | Brent        |  290636.3199999997
             | Brian        |  2614256.299999997
             | Brian        |  8197273.740000072
             | Brook        | 1260448.8000000014
             | Brooke       | 2354593.0099999937
             | Bruce        | 2732544.6900000027
             | Bryan        |  924772.0799999972
             | Bryan        | 1907316.9000000008
             | Bryant       | 353797.05999999936
             | Caitlin      |  878051.7799999961
             | Caitlin      | 1393006.4399999958
             | Carey        | 1495363.0200000042
             | Carissa      | 1013960.0000000016
             | Carl         |  1337222.920000006
             | Carole       | 2543860.2400000077
             | Caroline     |  998705.9499999991
             | Carolyn      |  547942.6100000005
             | Carrie       | 1977750.0799999915
             | Carrie       | 2177176.2300000004
             | Carson       | 2827055.2300000065
             | Catherine    |  2214204.590000001
             | Catherine    |  2359968.139999982
             | Cecilia      |  1656252.829999999
             | Cedric       |  1731570.770000003
             | Cedric       | 1800353.8100000066
             | Celia        |  742431.7399999998
             | Chad         |  4729869.749999979
             | Charity      | 1570556.9300000002
             | Charlene     | 1829718.3899999997
(100 rows)

