 c_last_name | c_first_name |     ca_city     |   bought_city   | ss_ticket_number |   extended_price   |    extended_tax    |     list_price     
-------------+--------------+-----------------+-----------------+------------------+--------------------+--------------------+--------------------
             | Mark         | Somerville      | Green Acres     |            15164 |           21737.79 |             924.75 |           43426.33
             | Deborah      | Stringtown      | Florence        |            41088 |            18444.2 |            1034.74 |  35862.82000000001
             |              | Spring Hill     | Brownsville     |            65502 |           34549.89 | 1069.5900000000001 |           59918.76
             | John         | Spring Hill     | Friendship      |           123374 |           21712.42 |            1337.39 |           31640.02
             |              | Shiloh          | Greenwood       |           133492 | 10568.639999999998 |             410.24 | 22086.080000000005
             | Mozella      | Hillcrest       | Fairview        |           153538 |            19258.6 |  722.8100000000001 | 41563.619999999995
             |              | Enterprise      | Forest Hills    |           173271 | 22717.300000000003 | 385.60999999999996 | 54011.229999999996
             |              | New Hope        | Post Oak        |           179223 |           23062.99 |             941.15 |           39854.58
             |              | Pleasant Valley | Crossroads      |           198737 |           33009.57 | 2455.4000000000005 |  42317.78999999999
             | Jesus        | Pleasant Valley | Woodland        |           202392 | 31955.329999999998 |  955.3600000000001 |  53020.06000000001
             | Willie       | Clifton         | Jamestown       |           202845 |           26388.25 |  854.3299999999999 |           46635.21
             |              | Gilmore         | Georgetown      |           241711 | 17174.550000000003 | 396.40999999999997 |           25911.67
             | Rita         | Woodlawn        | Mount Zion      |           272217 | 24124.379999999997 | 1012.1999999999998 | 45221.020000000004
             | Carl         | Greenwood       | Louisville      |           274236 |           23879.02 |            1142.47 | 43698.399999999994
             |              | Shady Grove     | Tipton          |           300257 | 15818.609999999999 |             627.84 |           32558.11
             | Rosella      | Marion          | Edgewood        |           306191 |           29400.83 |             664.23 |           43150.83
             |              | Five Points     | Newport         |           314279 |           24207.47 |  802.3000000000001 |  42122.53999999999
             | Jack         | Oakdale         | Deerfield       |           316242 | 18187.339999999997 |             421.05 |  46998.42999999999
             | Julie        | Wilson          | Woodville       |           358945 |           18613.03 |  788.4200000000001 |           47538.49
             |              | Georgetown      | Greenville      |           387206 |           13604.95 |             611.83 |  41295.19000000001
             |              | Hamilton        | Harmony         |           390413 |           18497.26 |             260.24 | 28814.329999999998
             |              | Forest Hills    | Red Hill        |           396041 |           17473.11 |             874.07 |  59947.82000000001
             | Nicole       | Mount Pleasant  | Oakwood         |           412443 | 15686.600000000002 |  992.3699999999999 |           27925.87
             |              | Oak Hill        | Five Points     |           471328 | 15601.829999999998 |  790.8599999999999 |           25908.43
             | Michael      | Pleasant Valley | Highland        |           520314 |           15396.69 |             275.93 |           41394.23
             |              | Post Oak        | Pleasant Valley |           523677 | 23890.550000000003 |             959.87 |           45806.59
             |              | Forest Hills    | Plainview       |           580214 | 22549.090000000004 |             426.65 |           36845.89
             |              | Clifton         | Centerville     |           585593 |            23008.5 |  967.8699999999999 |            43291.4
             |              | Jackson         | Brownsville     |           621618 | 21406.319999999996 |             623.82 |           33974.83
             | Frank        | Point Pleasant  | Elm Grove       |           635765 | 29230.739999999998 |            1633.77 |           40494.38
             | Jack         | Newtown         | Waterloo        |           645140 |           16088.38 |  703.2900000000001 |           61799.68
             | Louis        | Florence        | Riverview       |           676861 | 24608.659999999996 |             406.09 |  37096.99999999999
             | Wanda        | Hamilton        | Newport         |           677141 | 21866.570000000003 |             972.91 | 55945.590000000004
             |              | Highland Park   | Lakeview        |           678209 |           13832.37 |             736.43 |           37656.72
             | Timothy      | Enterprise      | Lakeview        |           720175 |           16914.33 |  854.3100000000001 |           32883.74
             |              | Centerville     | Oakwood         |           724229 | 14943.900000000001 |             448.63 |           36541.62
             | Erica        | Riverdale       | Forest Hills    |           731563 |           30698.51 |            1555.73 |           43981.17
             |              | Woodlawn        | Belmont         |           755630 |           22603.33 |             490.72 |  58226.60999999999
             | Patrick      | Oakdale         | Harmon          |           756099 | 10439.119999999999 |             628.16 |           20831.78
             | Jean         | Sawyer          | Union           |           759237 | 21745.489999999998 |             452.73 |  42008.81000000001
             | Mellissa     | Ashland         | Lakewood        |           763423 |           19061.94 |             872.33 |           56539.82
             |              | Price           | Union           |           849626 | 15448.069999999998 |  761.7500000000001 | 50115.990000000005
             |              | Sulphur Springs | Union           |           868290 |              11158 |              412.8 |           19471.14
             |              | Glenwood        | Kimball         |           869608 | 23404.239999999998 | 1415.8999999999999 |           47148.31
             |              | Greenfield      | Oak Grove       |           894965 | 23175.120000000003 |             989.01 | 49468.100000000006
             |              | Waterloo        | Wildwood        |           902777 | 16231.640000000001 |             976.78 | 46196.600000000006
             |              | Marion          | Fairview        |           916278 |  38136.49999999999 |            2074.24 | 52967.969999999994
             | Wallace      | Riverside       | Clinton         |           920030 | 22228.440000000002 |             988.83 |           53514.55
             | Linda        | Five Points     | Lincoln         |           927351 | 23387.069999999996 |  818.3300000000002 |           41069.72
             |              | Bridgeport      | Concord         |           946382 |           29167.57 |  593.5400000000001 |           66122.38
             | Joan         | Glendale        | Lebanon         |           947121 | 23670.160000000003 |  897.9300000000001 |           49901.14
             | Catherine    | Burns           | Woodland        |           950184 |           26312.44 |            1142.22 |  45753.53999999999
             |              | Red Hill        | Howell          |           972973 |            15782.6 |             574.58 |  35692.40000000001
             | Christina    | Sulphur Springs | Five Forks      |           977818 |           25517.45 | 423.81999999999994 |  49595.53999999999
             |              | Union           | Clifton         |           983899 |           18202.18 |  987.1300000000001 |           24487.31
             |              | Glendale        | Wildwood        |          1000559 | 23347.760000000002 |            1217.53 |           44274.08
             | Kenny        | Red Hill        | Five Forks      |          1046035 |           13246.13 | 464.53000000000003 | 23761.090000000004
             |              | Lakeside        | Wildwood        |          1091315 |            8840.41 |  627.5999999999999 |           26095.85
