   Call_Center    |  Call_Center_Name   |      Manager      |    Returns_Loss    
------------------+---------------------+-------------------+--------------------
 AAAAAAAAEAAAAAAA | North Midwest       | Larry Mccray      | 12440.820000000002
 AAAAAAAAGBAAAAAA | Hawaii/Alaska_1     | Travis Wilson     |           11427.11
 AAAAAAAAHAAAAAAA | Pacific Northwest   | Alden Snyder      |           10986.11
 AAAAAAAAKAAAAAAA | Hawaii/Alaska       | Gregory Altman    |  8648.789999999999
 AAAAAAAADBAAAAAA | Pacific Northwest_1 | Roderick Walls    |            8187.46
 AAAAAAAADBAAAAAA | Pacific Northwest_1 | Roderick Walls    |  7670.490000000001
 AAAAAAAAKBAAAAAA | Mid Atlantic_2      | Rene Sampson      |            7414.46
 AAAAAAAANAAAAAAA | NY Metro_1          | Jack Little       |            7362.31
 AAAAAAAACAAAAAAA | Mid Atlantic        | Felipe Perkins    |            6561.92
 AAAAAAAAJBAAAAAA | NY Metro_2          | Richard James     |            6390.34
 AAAAAAAAOAAAAAAA | Mid Atlantic_1      | Clyde Scott       |  6368.549999999999
 AAAAAAAAEBAAAAAA | California_1        | Jason Brito       |            6346.49
 AAAAAAAAKBAAAAAA | Mid Atlantic_2      | Rene Sampson      |  5920.949999999999
 AAAAAAAAIAAAAAAA | California          | Wayne Ray         |            5789.43
 AAAAAAAAABAAAAAA | North Midwest_1     | Timothy Bourgeois | 5027.3099999999995
 AAAAAAAAHAAAAAAA | Pacific Northwest   | Alden Snyder      |             4902.6
 AAAAAAAAMBAAAAAA | North Midwest_2     | Ryan Burchett     |            4861.91
 AAAAAAAAEAAAAAAA | North Midwest       | Larry Mccray      |            3287.42
 AAAAAAAABAAAAAAA | NY Metro            | Bob Belcher       |            3236.15
 AAAAAAAAJBAAAAAA | NY Metro_2          | Richard James     |            2692.97
 AAAAAAAACAAAAAAA | Mid Atlantic        | Felipe Perkins    |            2473.71
 AAAAAAAANAAAAAAA | NY Metro_1          | Jack Little       | 2340.5099999999998
 AAAAAAAAIAAAAAAA | California          | Wayne Ray         |            1889.19
 AAAAAAAAMBAAAAAA | North Midwest_2     | Ryan Burchett     | 1535.7999999999997
 AAAAAAAAKAAAAAAA | Hawaii/Alaska       | Gregory Altman    | 1449.2600000000002
 AAAAAAAAABAAAAAA | North Midwest_1     | Timothy Bourgeois |             1399.1
 AAAAAAAAGBAAAAAA | Hawaii/Alaska_1     | Travis Wilson     |            1216.19
 AAAAAAAABAAAAAAA | NY Metro            | Bob Belcher       | 421.46000000000004
 AAAAAAAAOAAAAAAA | Mid Atlantic_1      | Clyde Scott       | 320.28999999999996
 AAAAAAAAEBAAAAAA | California_1        | Jason Brito       |              28.41
(30 rows)

