 c_last_name | c_first_name |       sales        
-------------+--------------+--------------------
             |              |  635358362.1599811
             |              | 1278105629.8601577
             | Aaron        | 1992083.0699999998
             | Aaron        | 2758890.8899999885
             | Abraham      | 2654041.7699999902
             | Adalberto    | 1558434.8600000038
             | Adam         | 1042432.0799999998
             | Adolfo       |  569607.2199999994
             | Adrian       |  723175.4499999998
             | Agustin      |  2755375.270000008
             | Alberto      | 1475823.3500000031
             | Alda         | 1749264.0699999924
             | Alejandro    |  974005.7599999984
             | Alexander    |  967304.8699999984
             | Alfonzo      |  1127566.230000004
             | Alisa        |  676143.7900000007
             | Alisha       |         2806767.56
             | Alma         | 427642.04999999964
             | Amanda       |  3489524.769999982
             | Amber        |  4622495.749999984
             | Amy          |  846206.2400000042
             | Amy          |   9034889.99999996
             | Ana          |  624309.7600000008
             | Andre        |  339179.6499999991
             | Andre        |  2947237.840000011
             | Andrea       | 4137936.6899999976
             | Andrew       | 3591826.7199999825
             | Andrew       |  4354291.699999983
             | Andy         | 1296909.5799999936
             | Angie        | 2185989.9800000056
             | Anita        | 3951748.2299999995
             | Ann          |  2300502.379999988
             | Ann          |  6814966.620000014
             | Anna         |         3497965.96
             | Anne         | 2049813.1900000013
             | Anthony      | 3915961.3599999873
             | Antonia      |  1376952.799999999
             | Ariana       |  976721.3900000011
             | Armando      | 2338439.5899999994
             | Arthur       | 1884523.0600000015
             | Arturo       |  907711.6799999982
             | Ashley       | 1984632.4300000041
             | Audrey       | 1511816.6400000036
             | Babara       | 1651427.7699999996
             | Barbara      |  2739313.569999995
             | Barbara      |  8391922.279999988
             | Barton       | 1238449.5599999984
             | Beatrice     |  575129.9800000004
             | Beatrice     | 1733347.6299999985
             | Belva        | 1681613.7600000042
             | Benjamin     | 2439300.4100000076
             | Benny        | 2012122.4900000058
             | Bernadette   | 2941299.7700000186
             | Berneice     | 2312953.0399999935
             | Bethany      | 1932537.5099999977
             | Betty        |  5215945.200000014
             | Betty        |  6833210.559999931
             | Beulah       | 1766118.4299999983
             | Beverly      |  881753.9500000023
             | Beverly      | 3107336.0200000005
             | Bill         | 1590752.4300000023
             | Billy        | 2088585.6499999918
             | Blanca       |  970532.7899999998
             | Bobby        |  2387616.840000009
             | Boris        |  1206958.500000001
             | Boyd         |  1963436.590000004
             | Boyd         | 2198641.5199999968
             | Brad         |  3457504.690000008
             | Brandon      | 1930532.6600000043
             | Brandy       | 1428970.7999999989
             | Brenda       |  2812537.800000004
             | Brent        |          290636.32
             | Brian        |  2614256.299999994
             | Brian        |  8197273.739999943
             | Brook        | 1260448.8000000005
             | Brooke       |  2354593.010000011
             | Bruce        |  2732544.689999997
             | Bryan        |  924772.0799999996
             | Bryan        | 1907316.9000000032
             | Bryant       |  353797.0600000002
             | Caitlin      |  878051.7799999979
             | Caitlin      | 1393006.4399999983
             | Carey        |  1495363.020000001
             | Carissa      |            1013960
             | Carl         | 1337222.9200000032
             | Carole       |  2543860.239999998
             | Caroline     |   998705.950000001
             | Carolyn      |  547942.6100000009
             | Carrie       |  1977750.079999992
             | Carrie       | 2177176.2299999995
             | Carson       | 2827055.2300000065
             | Catherine    |  2214204.589999993
             | Catherine    |  2359968.139999998
             | Cecilia      | 1656252.8299999947
             | Cedric       |  1731570.770000004
             | Cedric       | 1800353.8100000054
             | Celia        |  742431.7400000013
             | Chad         |  4729869.750000001
             | Charity      |  1570556.930000005
             | Charlene     | 1829718.3899999938
(100 rows)

