 c_last_name | c_first_name |     ca_city     |   bought_city   | ss_ticket_number |   extended_price   |    extended_tax    |     list_price     
-------------+--------------+-----------------+-----------------+------------------+--------------------+--------------------+--------------------
             | Mark         | Somerville      | Green Acres     |            15164 | 21737.789999999997 |             924.75 |           43426.33
             | Deborah      | Stringtown      | Florence        |            41088 |            18444.2 |            1034.74 |           35862.82
             |              | Spring Hill     | Brownsville     |            65502 |           34549.89 |            1069.59 |           59918.76
             | John         | Spring Hill     | Friendship      |           123374 |           21712.42 |            1337.39 |           31640.02
             |              | Shiloh          | Greenwood       |           133492 | 10568.639999999998 |             410.24 |           22086.08
             | Mozella      | Hillcrest       | Fairview        |           153538 |            19258.6 |  722.8100000000001 |           41563.62
             |              | Enterprise      | Forest Hills    |           173271 | 22717.299999999996 |             385.61 | 54011.229999999996
             |              | New Hope        | Post Oak        |           179223 | 23062.989999999998 |  941.1499999999999 |           39854.58
             |              | Pleasant Valley | Crossroads      |           198737 |           33009.57 |             2455.4 |           42317.79
             | Jesus        | Pleasant Valley | Woodland        |           202392 | 31955.329999999994 |             955.36 |           53020.06
             | Willie       | Clifton         | Jamestown       |           202845 |           26388.25 |             854.33 |  46635.21000000001
             |              | Gilmore         | Georgetown      |           241711 | 17174.550000000003 | 396.40999999999997 |           25911.67
             | Rita         | Woodlawn        | Mount Zion      |           272217 | 24124.379999999997 | 1012.1999999999999 | 45221.020000000004
             | Carl         | Greenwood       | Louisville      |           274236 |           23879.02 |            1142.47 | 43698.399999999994
             |              | Shady Grove     | Tipton          |           300257 | 15818.609999999999 |  627.8399999999999 |           32558.11
             | Rosella      | Marion          | Edgewood        |           306191 |           29400.83 |             664.23 |           43150.83
             |              | Five Points     | Newport         |           314279 |           24207.47 |  802.2999999999997 |           42122.54
             | Jack         | Oakdale         | Deerfield       |           316242 | 18187.339999999997 |             421.05 |  46998.43000000001
             | Julie        | Wilson          | Woodville       |           358945 |           18613.03 |             788.42 |           47538.49
             |              | Georgetown      | Greenville      |           387206 |           13604.95 |  611.8299999999999 | 41295.189999999995
             |              | Hamilton        | Harmony         |           390413 | 18497.260000000002 |             260.24 | 28814.329999999998
             |              | Forest Hills    | Red Hill        |           396041 |           17473.11 |  874.0700000000002 |  59947.82000000001
             | Nicole       | Mount Pleasant  | Oakwood         |           412443 | 15686.600000000002 |  992.3700000000001 |           27925.87
             |              | Oak Hill        | Five Points     |           471328 | 15601.829999999998 |             790.86 |           25908.43
             | Michael      | Pleasant Valley | Highland        |           520314 |           15396.69 | 275.93000000000006 |           41394.23
